/fraternal/madison.php	/fraternal/madison.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310759523	-	-	GET	-	N/D
/fraternal/worthington.php	/fraternal/worthington.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310759559	-	-	GET	-	N/D
/fraternal/hocking.php	/fraternal/hocking.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.56	1310759621	-	-	GET	-	tr-TR
/fraternal/car.php	/fraternal/car.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310759640	-	-	GET	-	N/D
/fraternal/union.php	/fraternal/union.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310759799	-	-	GET	-	N/D
/fraternal/pike.php	/fraternal/pike.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310759920	-	-	GET	-	N/D
/fraternal/hilltop.php	/fraternal/hilltop.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310759970	-	-	GET	-	N/D
/fraternal/utica.php	/fraternal/utica.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310760160	-	-	GET	-	N/D
/fraternal/hardin.php	/fraternal/hardin.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310760280	-	-	GET	-	N/D
/fraternal/home.php	/fraternal/home.php	#	Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)	b3091245.crawl.yahoo.net	1310760291	-	-	GET	-	en-us,en;q=0.5
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:5.0) Gecko/20100101 Firefox/5.0	s5597894b.adsl.wanadoo.nl	1310761013	-	-	GET	-	nl,en-us;q=0.7,en;q=0.3
/fraternal/calendar.php	/fraternal/calendar.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:5.0) Gecko/20100101 Firefox/5.0	s5597894b.adsl.wanadoo.nl	1310761019	-	-	GET	-	nl,en-us;q=0.7,en;q=0.3
/fraternal/history.php	/fraternal/history.php	http://www.aladdinshrine.org/fraternal/calendar.php	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:5.0) Gecko/20100101 Firefox/5.0	s5597894b.adsl.wanadoo.nl	1310761021	-	-	GET	-	nl,en-us;q=0.7,en;q=0.3
